DRILLHOLE_NO,DH_NAME,DH_OTHER_NAME,lon_dd,lat_dd,max_depth_m,drill_date,TARGET_COMMODITIES,MINERAL_CLASS,PETROLEUM_CLASS,STRATIGRAPHIC_CLASS,WATER_WELL_CLASS,STRAT_LOG,LITHO_LOG,PETROPHYSICAL_LOG,CORE_LIBRARY,OPERATOR_NAME,TENEMENT,MAP_250000,dist_od_km,in_regional_window,strat_units_top_to_base,gis_codes_top_to_base,deepest_logged_base_m,oldest_age_rank,oldest_age_class,depth_top_pre_adelaidean_m,depth_top_crystalline_basement_m,first_pre_adelaidean_unit,first_crystalline_basement_unit,reached_pre_adelaidean,reached_crystalline_basement,pandurra_logged,hole_type,cutoff_t0,buffer_deg
135903,KENELLA 1A,,134.958315,-30.9254233,152.4,1973-12-31,Base Metals,Y,N,N,N,Y,N,N,Y,Agilis Exploration Services (Aust) Pty Ltd.,EL 56,SH5310 TARCOOLA,192.1,False,Quaternary rocks > Mulgathing Complex > Mulgathing Complex,IH > AYm > AYm,152.4,5.0,Archaean,7.6,7.6,Mulgathing Complex,Mulgathing Complex,True,True,False,mineral,1975-05-02,2.0
135904,KENELLA 9A,,134.958347,-30.9243403,118.57,1973-12-31,Base Metals,Y,N,N,N,Y,N,N,Y,Agilis Exploration Services (Aust) Pty Ltd.,EL 56,SH5310 TARCOOLA,192.1,False,Quaternary rocks > Mulgathing Complex,IH > AYm,118.57,5.0,Archaean,4.6,4.6,Mulgathing Complex,Mulgathing Complex,True,True,False,mineral,1975-05-02,2.0
139809,M 15,,137.4263206,-32.1119924,30.0,1972-06-23,Clay,Y,N,N,N,Y,N,N,N,Pacminex Pty Ltd., ,SI5304 PORT AUGUSTA,192.7,False,Tertiary-Pleistocene rocks > Whyalla Sandstone > Woocalla Dolomite Member > Pandurra Formation,aI > N-hueh > N-huntw > M----p,30.0,3.0,Mesoproterozoic,17.0,,Pandurra Formation,,True,False,True,mineral,1975-05-02,2.0
147507,PACMINEX EX 127,,137.2069736,-32.1556884,64.0,1974-06-24,"Base Metals, Copper",Y,N,N,N,Y,N,N,N,Mount Gunson Mines Pty Ltd.,EL 50,SI5304 PORT AUGUSTA,193.1,False,Tertiary-Pleistocene rocks > Whyalla Sandstone > Pandurra Formation,aI > N-hueh > M----p,64.0,3.0,Mesoproterozoic,62.0,,Pandurra Formation,,True,False,True,mineral,1975-05-02,2.0
147506,PACMINEX EX 126,,137.1963266,-32.1671494,42.0,1974-06-14,"Base Metals, Copper",Y,N,N,N,Y,N,N,N,Mount Gunson Mines Pty Ltd.,EL 50,SI5304 PORT AUGUSTA,194.2,False,Tertiary-Pleistocene rocks > Whyalla Sandstone > Pandurra Formation,aI > N-hueh > M----p,42.0,3.0,Mesoproterozoic,25.0,,Pandurra Formation,,True,False,True,mineral,1975-05-02,2.0
147892,PACMINEX EX 156,,136.9809936,-32.1973114,23.0,1974-07-17,"Base Metals, Copper",Y,N,N,N,Y,N,N,N,Mount Gunson Mines Pty Ltd.,EL 50,SI5304 PORT AUGUSTA,195.5,False,Quaternary rocks > Pandurra Formation,IH > M----p,23.0,3.0,Mesoproterozoic,9.0,,Pandurra Formation,,True,False,True,mineral,1975-05-02,2.0
147505,PACMINEX EX 125,,137.2153626,-32.1825994,17.5,1974-06-14,"Base Metals, Copper",Y,N,N,N,Y,N,N,N,Mount Gunson Mines Pty Ltd.,EL 50,SI5304 PORT AUGUSTA,196.2,False,Tertiary-Pleistocene rocks > Pandurra Formation,aI > M----p,17.5,3.0,Mesoproterozoic,9.0,,Pandurra Formation,,True,False,True,mineral,1975-05-02,2.0
147453,PACMINEX EX 10,,137.3268446,-32.2004374,61.0,1973-10-07,"Base Metals, Copper",Y,N,N,N,Y,N,N,N,Mount Gunson Mines Pty Ltd.,EL 50,SI5304 PORT AUGUSTA,200.1,False,Quaternary rocks > Tertiary silcrete > Umberatana Group unit 2 > Umberatana Group unit 2 > Tapley Hill Formation > Pandurra Formation,IH > ap----si > N-hu----02 > N-hu----02 > N-hunt > M----p,61.0,3.0,Mesoproterozoic,59.0,,Pandurra Formation,,True,False,True,mineral,1975-05-02,2.0
20465,PACMINEX EX 11,,137.3021086,-32.2121624,68.6,1973-10-08,"Base Metals, Copper",Y,N,N,N,Y,N,N,N,Mount Gunson Mines Pty Ltd.,EL 50,SI5304 PORT AUGUSTA,200.9,False,Whyalla Sandstone > Umberatana Group unit 2 > Umberatana Group unit 2 > Pandurra Formation,N-hueh > N-hu----02 > N-hu----02 > M----p,68.6,3.0,Mesoproterozoic,67.0,,Pandurra Formation,,True,False,True,mineral,1975-05-02,2.0
147454,PACMINEX EX 13,,137.2564156,-32.2346304,19.8,1973-10-09,"Base Metals, Copper",Y,N,N,N,Y,N,N,N,Mount Gunson Mines Pty Ltd.,EL 50,SI5304 PORT AUGUSTA,202.5,False,Tertiary-Pleistocene rocks > Whyalla Sandstone > Umberatana Group unit 2 > Pandurra Formation,aI > N-hueh > N-hu----02 > M----p,19.8,3.0,Mesoproterozoic,17.7,,Pandurra Formation,,True,False,True,mineral,1975-05-02,2.0
