reading,DRILLHOLE_NO,basement_top_m,basement_unit,contact_cover_unit,contact_cover_from_m,contact_cover_to_m,contact_facies_class,contact_reduced_words,contact_oxidised_words,contact_description,contact_logging_date,contact_logged_before_t0,DH_NAME,lon_dd,lat_dd,drill_date,OPERATOR_NAME,LITHO_LOG,in_regional_window,dist_od_km
pandurra_as_basement,6370,12.0,Tarcoola Formation,Quaternary rocks,3.0,12.0,none,,,Sand with grains 1-2mm and variably clayey,1993-07-21,False,COMM RAILWAYS (A9) 9,134.51143,-30.6727553,1972-01-14,Commonwealth Railways of Australia.,Y,False,228.9
pandurra_as_basement,6371,49.0,Mulgathing Complex,Carboniferous-Permian rocks,3.0,49.0,reduced,carbonaceous,,"Partly carbonaceous, partly sandy, partly gypseous",1993-07-21,False,COMM RAILWAYS 182,134.514238,-30.7126043,1972-01-17,Commonwealth Railways of Australia.,Y,False,229.1
pandurra_as_basement,6381,1.5,Tarcoola Formation,Quaternary rocks,0.0,1.5,none,,,,1993-10-05,False,TD 4 SADME,134.545828,-30.6904943,1966-06-10,South Australia. Department of Mines and Energy.,Y,False,225.9
pandurra_as_basement,6382,20.6,Tarcoola Formation,Tertiary rocks,15.7,20.6,reduced,carbonaceous; pyritic,,"Slightly sandy, pyritic, carbonaceous clay",1993-10-05,False,TD 5 SADME,134.60498,-30.6488543,1966-07-29,South Australia. Department of Mines and Energy.,Y,False,219.8
pandurra_as_basement,6409,0.0,Mulgathing Complex,,,,no cover interval logged,,,,,,EDR 1,134.986236,-30.8864843,1969-11-06,South Australia. Department of Mines and Energy.,Y,False,188.4
pandurra_as_basement,6410,0.0,Mulgathing Complex,,,,no cover interval logged,,,,,,EDR 2,134.986236,-30.8864843,1969-11-07,South Australia. Department of Mines and Energy.,Y,False,188.4
pandurra_as_basement,6411,0.0,Mulgathing Complex,,,,no cover interval logged,,,,,,EDR 3,134.986236,-30.8864843,1969-11-08,South Australia. Department of Mines and Energy.,Y,False,188.4
pandurra_as_basement,6412,0.0,Mulgathing Complex,,,,no cover interval logged,,,,,,EDR 4,134.986309,-30.8864853,1969-11-11,South Australia. Department of Mines and Energy.,Y,False,188.4
pandurra_as_basement,6413,0.0,Mulgathing Complex,,,,no cover interval logged,,,,,,EDR 5,134.986236,-30.8864843,1969-11-11,South Australia. Department of Mines and Energy.,N,False,188.4
pandurra_as_basement,6414,0.0,Mulgathing Complex,,,,no cover interval logged,,,,,,EDR 6,134.986236,-30.8864843,1969-11-11,South Australia. Department of Mines and Energy.,N,False,188.4
pandurra_as_basement,6521,1.5,Mulgathing Complex,Quaternary rocks,0.0,1.5,oxidised,,red,Fine gr. red sand,1993-07-21,False,COMM RAILWAYS 11,134.5339831,-30.3375053,1972-01-24,Commonwealth Railways of Australia.,Y,False,226.0
pandurra_as_basement,6766,2.5,Mulgathing Complex,Quaternary rocks,0.0,2.5,none,,,V. fine gr. partly consolidated sand,1993-07-21,False,COMM RAILWAYS 14,134.7122861,-29.7252193,1972-03-08,Commonwealth Railways of Australia.,N,False,223.9
pandurra_as_basement,6770,0.0,Ealbara Rhyolite,,,,no cover interval logged,,,,,,PERFECTION DDH 1,134.7015951,-29.7353743,1971-04-16,South Australia. Department of Mines and Energy.,N,False,224.4
pandurra_as_basement,6771,0.0,Ealbara Rhyolite,,,,no cover interval logged,,,,,,PERFECTION DDH 2,134.7050671,-29.7365193,1971-04-09,South Australia. Department of Mines and Energy.,N,False,224.1
pandurra_as_basement,6772,0.0,Ealbara Rhyolite,,,,no cover interval logged,,,,,,PERFECTION DDH 3,134.7029591,-29.7392053,1971-04-14,South Australia. Department of Mines and Energy.,N,False,224.1
